"번호","시각_UTC","모델","입력_토큰","출력_토큰","캐시생성_토큰","캐시읽기_토큰","호출비용_USD","누적_입력토큰","누적_출력토큰","누적_캐시생성","누적_캐시읽기","누적비용_USD"
"51","2026-06-05 12:32:36","claude-sonnet-4-6","1","136","4730","95487","0.048427","65","167894","173099","2877112","4.0309"
"52","2026-06-05 12:33:16","claude-sonnet-4-6","1","192","381","100217","0.034377","66","168086","173480","2977329","4.0652"
"53","2026-06-05 12:33:16","claude-sonnet-4-6","1","192","381","100217","0.034377","67","168278","173861","3077546","4.0996"
"54","2026-06-05 12:35:24","claude-sonnet-4-6","1","150","282","100598","0.03349","68","168428","174143","3178144","4.1331"
"55","2026-06-05 12:35:24","claude-sonnet-4-6","1","150","282","100598","0.03349","69","168578","174425","3278742","4.1666"
"56","2026-06-05 12:55:04","claude-sonnet-4-6","1","83","275","100880","0.032543","70","168661","174700","3379622","4.1991"
"57","2026-06-05 12:55:57","claude-sonnet-4-6","1","123","447","101155","0.033871","71","168784","175147","3480777","4.233"
"58","2026-06-05 12:56:30","claude-sonnet-4-6","1","119","160","101602","0.032869","72","168903","175307","3582379","4.2659"
"59","2026-06-05 12:57:13","claude-sonnet-4-6","1","85","240","101762","0.032707","73","168988","175547","3684141","4.2986"
"60","2026-06-05 12:57:38","claude-sonnet-4-6","1","119","391","102002","0.033855","74","169107","175938","3786143","4.3324"
"61","2026-06-05 12:57:54","claude-sonnet-4-6","1","890","1527","102393","0.049797","75","169997","177465","3888536","4.3822"
"62","2026-06-05 12:57:54","claude-sonnet-4-6","1","890","1527","102393","0.049797","76","170887","178992","3990929","4.432"
"63","2026-06-05 12:57:54","claude-sonnet-4-6","1","890","1527","102393","0.049797","77","171777","180519","4093322","4.4818"
"64","2026-06-05 12:58:09","claude-sonnet-4-6","1","619","1036","103920","0.044349","78","172396","181555","4197242","4.5262"
"65","2026-06-05 12:58:13","claude-sonnet-4-6","1","137","702","104956","0.036177","79","172533","182257","4302198","4.5624"
"66","2026-06-05 12:58:17","claude-sonnet-4-6","1","119","220","105658","0.03431","80","172652","182477","4407856","4.5967"
"67","2026-06-05 12:58:21","claude-sonnet-4-6","1","143","242","105878","0.034819","81","172795","182719","4513734","4.6315"
"68","2026-06-05 13:01:26","claude-sonnet-4-6","1","223","480","106120","0.036984","82","173018","183199","4619854","4.6685"
"69","2026-06-05 13:01:27","claude-sonnet-4-6","1","223","480","106120","0.036984","83","173241","183679","4725974","4.7055"
"70","2026-06-05 13:01:28","claude-sonnet-4-6","1","223","480","106120","0.036984","84","173464","184159","4832094","4.7424"
"71","2026-06-05 13:01:57","claude-sonnet-4-6","1","157","249","106600","0.035272","85","173621","184408","4938694","4.7777"
"72","2026-06-05 13:02:46","claude-sonnet-4-6","1","218","418","106849","0.036895","86","173839","184826","5045543","4.8146"
"73","2026-06-05 13:02:46","claude-sonnet-4-6","1","218","418","106849","0.036895","87","174057","185244","5152392","4.8515"
"74","2026-06-05 13:02:47","claude-sonnet-4-6","1","218","418","106849","0.036895","88","174275","185662","5259241","4.8884"
"75","2026-06-05 13:02:51","claude-sonnet-4-6","1","97","343","107267","0.034924","89","174372","186005","5366508","4.9233"
"76","2026-06-05 13:03:08","claude-sonnet-4-6","1","121","495","107610","0.035957","90","174493","186500","5474118","4.9593"
"77","2026-06-05 13:03:11","claude-sonnet-4-6","1","121","452","108105","0.035944","91","174614","186952","5582223","4.9952"
"78","2026-06-05 13:03:15","claude-sonnet-4-6","1","137","139","108557","0.035146","92","174751","187091","5690780","5.0304"
"79","2026-06-05 13:03:17","claude-sonnet-4-6","1","85","183","108696","0.034573","93","174836","187274","5799476","5.0649"
"80","2026-06-05 13:03:20","claude-sonnet-4-6","1","137","152","108879","0.035292","94","174973","187426","5908355","5.1002"
"81","2026-06-05 13:03:24","claude-sonnet-4-6","1","148","204","109031","0.035697","95","175121","187630","6017386","5.1359"
"82","2026-06-05 13:03:49","claude-sonnet-4-6","1","267","161","109235","0.037382","96","175388","187791","6126621","5.1733"
"83","2026-06-05 13:03:51","claude-sonnet-4-6","1","267","161","109235","0.037382","97","175655","187952","6235856","5.2107"
"84","2026-06-05 13:03:55","claude-sonnet-4-6","1","110","353","109396","0.035796","98","175765","188305","6345252","5.2465"
"85","2026-06-05 13:04:10","claude-sonnet-4-6","1","677","140","109749","0.043608","99","176442","188445","6455001","5.2901"
"86","2026-06-05 13:04:20","claude-sonnet-4-6","1","677","140","109749","0.043608","100","177119","188585","6564750","5.3337"
"87","2026-06-05 13:04:24","claude-sonnet-4-6","1","87","839","109889","0.037421","101","177206","189424","6674639","5.3711"
"88","2026-06-05 13:04:29","claude-sonnet-4-6","1","181","145","110728","0.03648","102","177387","189569","6785367","5.4076"
"89","2026-06-05 13:04:40","claude-sonnet-4-6","1","616","248","110873","0.043435","103","178003","189817","6896240","5.451"
"90","2026-06-05 13:29:57","claude-sonnet-4-6","3","523","961","111121","0.044794","106","178526","190778","7007361","5.4958"
"91","2026-06-05 13:29:57","claude-sonnet-4-6","3","523","961","111121","0.044794","109","179049","191739","7118482","5.5406"
"92","2026-06-05 13:29:57","claude-sonnet-4-6","3","523","961","111121","0.044794","112","179572","192700","7229603","5.5854"
"93","2026-06-05 13:29:58","claude-sonnet-4-6","3","523","961","111121","0.044794","115","180095","193661","7340724","5.6302"
"94","2026-06-05 13:30:03","claude-sonnet-4-6","1","73","684","112082","0.037288","116","180168","194345","7452806","5.6675"
"95","2026-06-05 13:30:56","claude-sonnet-4-6","3","568","190","112766","0.043071","119","180736","194535","7565572","5.7106"
"96","2026-06-05 13:30:56","claude-sonnet-4-6","3","568","190","112766","0.043071","122","181304","194725","7678338","5.7536"
"97","2026-06-05 13:30:56","claude-sonnet-4-6","3","568","190","112766","0.043071","125","181872","194915","7791104","5.7967"
"98","2026-06-05 13:31:05","claude-sonnet-4-6","1","340","1236","112956","0.043625","126","182212","196151","7904060","5.8403"
"99","2026-06-05 13:31:05","claude-sonnet-4-6","1","340","1236","112956","0.043625","127","182552","197387","8017016","5.884"
"100","2026-06-05 13:31:06","claude-sonnet-4-6","1","340","1236","112956","0.043625","128","182892","198623","8129972","5.9276"
"101","2026-06-05 13:31:17","claude-sonnet-4-6","1","114","484","114192","0.037786","129","183006","199107","8244164","5.9654"
"102","2026-06-05 13:31:21","claude-sonnet-4-6","1","165","220","114676","0.037706","130","183171","199327","8358840","6.0031"
"103","2026-06-05 13:31:22","claude-sonnet-4-6","1","165","220","114676","0.037706","131","183336","199547","8473516","6.0408"
"104","2026-06-05 13:31:26","claude-sonnet-4-6","1","115","229","114896","0.037056","132","183451","199776","8588412","6.0778"
"105","2026-06-05 13:31:31","claude-sonnet-4-6","1","103","179","115125","0.036757","133","183554","199955","8703537","6.1146"
"106","2026-06-05 13:32:01","claude-sonnet-4-6","1","87","1343","115304","0.040935","134","183641","201298","8818841","6.1555"
"107","2026-06-05 13:32:08","claude-sonnet-4-6","1","200","626","116647","0.040345","135","183841","201924","8935488","6.1959"
"108","2026-06-05 13:34:21","claude-sonnet-4-6","3","130","222","117273","0.037973","138","183971","202146","9052761","6.2339"
"109","2026-06-05 13:34:22","claude-sonnet-4-6","3","130","222","117273","0.037973","141","184101","202368","9170034","6.2718"
"110","2026-06-05 13:34:26","claude-sonnet-4-6","1","313","251","117495","0.040888","142","184414","202619","9287529","6.3127"
"111","2026-06-05 13:34:30","claude-sonnet-4-6","1","313","251","117495","0.040888","143","184727","202870","9405024","6.3536"
"112","2026-06-05 13:35:41","claude-sonnet-4-6","3","50","328","117746","0.037313","146","184777","203198","9522770","6.3909"
"113","2026-06-06 11:39:26","claude-sonnet-4-6","3","926","102991","15291","0.404703","149","185703","306189","9538061","6.7956"
"114","2026-06-06 11:39:26","claude-sonnet-4-6","3","926","102991","15291","0.404703","152","186629","409180","9553352","7.2003"
"115","2026-06-06 11:39:27","claude-sonnet-4-6","3","926","102991","15291","0.404703","155","187555","512171","9568643","7.605"
"116","2026-06-06 11:40:13","claude-sonnet-4-6","1","447","1074","118282","0.04622","156","188002","513245","9686925","7.6512"
"117","2026-06-06 11:40:13","claude-sonnet-4-6","1","447","1074","118282","0.04622","157","188449","514319","9805207","7.6975"
"118","2026-06-06 11:40:13","claude-sonnet-4-6","1","447","1074","118282","0.04622","158","188896","515393","9923489","7.7437"
"119","2026-06-06 11:40:24","claude-sonnet-4-6","1","305","1412","119356","0.04568","159","189201","516805","10042845","7.7894"
"120","2026-06-06 11:40:32","claude-sonnet-4-6","1","213","331","120768","0.04067","160","189414","517136","10163613","7.83"
"121","2026-06-06 11:40:47","claude-sonnet-4-6","1","279","250","121099","0.041455","161","189693","517386","10284712","7.8715"
"122","2026-06-06 11:40:58","claude-sonnet-4-6","1","1303","1514","121349","0.06163","162","190996","518900","10406061","7.9331"
"123","2026-06-06 11:40:59","claude-sonnet-4-6","1","1303","1514","121349","0.06163","163","192299","520414","10527410","7.9947"
"124","2026-06-06 11:41:10","claude-sonnet-4-6","1","1303","1514","121349","0.06163","164","193602","521928","10648759","8.0564"
"125","2026-06-06 11:41:25","claude-sonnet-4-6","1","919","1398","122863","0.055889","165","194521","523326","10771622","8.1123"
